"Species","Year","Rate","PARAMETER","param.descr","value"
"BEWR",2002,67.29749571057,"PS","Surface Pressure (kPa) ",98.87
"BEWR",2002,67.29749571057,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.96
"BEWR",2002,67.29749571057,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.59
"BEWR",2002,67.29749571057,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.38
"BEWR",2002,67.29749571057,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.76
"BEWR",2002,67.29749571057,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"BEWR",2002,67.29749571057,"WS10M","Wind Speed at 10 Meters (m/s) ",2.96
"BEWR",2002,67.29749571057,NA,"Populationpersons",1669348
"BEWR",2002,67.29749571057,NA,"Percapitapersonalincome",48667
"BEWR",2002,67.29749571057,NA,"Farmproprietorsincome",62487
"BEWR",2002,67.29749571057,NA,"Nonfarmproprietorsincome",9089287
"BEWR",2002,67.29749571057,NA,"Farmproprietorsemployment",948
"BEWR",2002,67.29749571057,NA,"Nonfarmproprietorsemployment",167524
"BEWR",2003,39.6275014860313,"PRECTOT","Precipitation (mm day-1) ",452.78
"BEWR",2003,39.6275014860313,"RH2M","Relative Humidity at 2 Meters (%) ",69.45
"BEWR",2003,39.6275014860313,"T2M","Temperature at 2 Meters (C) ",14.4
"BEWR",2003,39.6275014860313,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.57
"BEWR",2003,39.6275014860313,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.02
"BEWR",2003,39.6275014860313,"PS","Surface Pressure (kPa) ",98.82
"BEWR",2003,39.6275014860313,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.91
"BEWR",2003,39.6275014860313,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.58
"BEWR",2003,39.6275014860313,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.37
"BEWR",2003,39.6275014860313,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"BEWR",2003,39.6275014860313,"WS2M","Wind Speed at 2 Meters (m/s) ",1.66
"BEWR",2003,39.6275014860313,"WS10M","Wind Speed at 10 Meters (m/s) ",2.91
"BEWR",2003,39.6275014860313,NA,"Populationpersons",1663592
"BEWR",2003,39.6275014860313,NA,"Percapitapersonalincome",49182
"BEWR",2003,39.6275014860313,NA,"Farmproprietorsincome",51772
"BEWR",2003,39.6275014860313,NA,"Nonfarmproprietorsincome",8707737
"BEWR",2003,39.6275014860313,NA,"Farmproprietorsemployment",891
"BEWR",2003,39.6275014860313,NA,"Nonfarmproprietorsemployment",180965
"BEWR",2004,41.1044589277316,"PRECTOT","Precipitation (mm day-1) ",454.93
"BEWR",2004,41.1044589277316,"RH2M","Relative Humidity at 2 Meters (%) ",68.56
"BEWR",2004,41.1044589277316,"T2M","Temperature at 2 Meters (C) ",14.24
"BEWR",2004,41.1044589277316,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.54
"BEWR",2004,41.1044589277316,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.81
"BEWR",2004,41.1044589277316,"PS","Surface Pressure (kPa) ",98.83
"BEWR",2004,41.1044589277316,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.95
"BEWR",2004,41.1044589277316,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.66
"BEWR",2004,41.1044589277316,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.5
"BEWR",2004,41.1044589277316,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.77
"BEWR",2004,41.1044589277316,"WS2M","Wind Speed at 2 Meters (m/s) ",1.73
"BEWR",2004,41.1044589277316,"WS10M","Wind Speed at 10 Meters (m/s) ",3.02
"BEWR",2004,41.1044589277316,NA,"Populationpersons",1663167
"BEWR",2004,41.1044589277316,NA,"Percapitapersonalincome",50837
"BEWR",2004,41.1044589277316,NA,"Farmproprietorsincome",45419
"BEWR",2004,41.1044589277316,NA,"Nonfarmproprietorsincome",7251911
"BEWR",2004,41.1044589277316,NA,"Farmproprietorsemployment",857
"BEWR",2004,41.1044589277316,NA,"Nonfarmproprietorsemployment",192893
"BEWR",2005,30.3307388643667,"PRECTOT","Precipitation (mm day-1) ",605.8
"BEWR",2005,30.3307388643667,"RH2M","Relative Humidity at 2 Meters (%) ",70.67
"BEWR",2005,30.3307388643667,"T2M","Temperature at 2 Meters (C) ",14.25
"BEWR",2005,30.3307388643667,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.33
"BEWR",2005,30.3307388643667,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.88
"BEWR",2005,30.3307388643667,"PS","Surface Pressure (kPa) ",98.8
"BEWR",2005,30.3307388643667,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.89
"BEWR",2005,30.3307388643667,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.56
"BEWR",2005,30.3307388643667,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.34
"BEWR",2005,30.3307388643667,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.67
"BEWR",2005,30.3307388643667,"WS2M","Wind Speed at 2 Meters (m/s) ",1.65
"BEWR",2005,30.3307388643667,"WS10M","Wind Speed at 10 Meters (m/s) ",2.89
"BEWR",2005,30.3307388643667,NA,"Populationpersons",1675312
"BEWR",2005,30.3307388643667,NA,"Percapitapersonalincome",53433
"BEWR",2005,30.3307388643667,NA,"Farmproprietorsincome",34964
"BEWR",2005,30.3307388643667,NA,"Nonfarmproprietorsincome",6863366
"BEWR",2005,30.3307388643667,NA,"Farmproprietorsemployment",850
"BEWR",2005,30.3307388643667,NA,"Nonfarmproprietorsemployment",196156
"BEWR",2006,26.6644446296142,"PRECTOT","Precipitation (mm day-1) ",523.96
"BEWR",2006,26.6644446296142,"RH2M","Relative Humidity at 2 Meters (%) ",70.24
"BEWR",2006,26.6644446296142,"T2M","Temperature at 2 Meters (C) ",13.85
"BEWR",2006,26.6644446296142,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.03
"BEWR",2006,26.6644446296142,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.46
"BEWR",2006,26.6644446296142,"PS","Surface Pressure (kPa) ",98.84
"BEWR",2006,26.6644446296142,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.86
"BEWR",2006,26.6644446296142,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.5
"BEWR",2006,26.6644446296142,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.23
"BEWR",2006,26.6644446296142,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.59
"BEWR",2006,26.6644446296142,"WS2M","Wind Speed at 2 Meters (m/s) ",1.62
"BEWR",2006,26.6644446296142,"WS10M","Wind Speed at 10 Meters (m/s) ",2.82
"BEWR",2006,26.6644446296142,NA,"Populationpersons",1691159
"BEWR",2006,26.6644446296142,NA,"Percapitapersonalincome",58389
"BEWR",2006,26.6644446296142,NA,"Farmproprietorsincome",34981
"BEWR",2006,26.6644446296142,NA,"Nonfarmproprietorsincome",7584723
"BEWR",2006,26.6644446296142,NA,"Farmproprietorsemployment",829
"BEWR",2006,26.6644446296142,NA,"Nonfarmproprietorsemployment",201926
"BEWR",2007,64.9750409833471,"PRECTOT","Precipitation (mm day-1) ",278.14
"BEWR",2007,64.9750409833471,"RH2M","Relative Humidity at 2 Meters (%) ",66.03
"BEWR",2007,64.9750409833471,"T2M","Temperature at 2 Meters (C) ",13.74
"BEWR",2007,64.9750409833471,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.5
"BEWR",2007,64.9750409833471,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.06
"BEWR",2007,64.9750409833471,"PS","Surface Pressure (kPa) ",98.91
"BEWR",2007,64.9750409833471,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"BEWR",2007,64.9750409833471,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.6
"BEWR",2007,64.9750409833471,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.41
"BEWR",2007,64.9750409833471,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.71
"BEWR",2007,64.9750409833471,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"BEWR",2007,64.9750409833471,"WS10M","Wind Speed at 10 Meters (m/s) ",2.97
"BEWR",2007,64.9750409833471,NA,"Populationpersons",1712026
"BEWR",2007,64.9750409833471,NA,"Percapitapersonalincome",62558
"BEWR",2007,64.9750409833471,NA,"Farmproprietorsincome",32235
"BEWR",2007,64.9750409833471,NA,"Nonfarmproprietorsincome",7385560
"BEWR",2007,64.9750409833471,NA,"Farmproprietorsemployment",878
"BEWR",2007,64.9750409833471,NA,"Nonfarmproprietorsemployment",217987
"BEWR",2008,79.2898120133293,"PRECTOT","Precipitation (mm day-1) ",435.18
"BEWR",2008,79.2898120133293,"RH2M","Relative Humidity at 2 Meters (%) ",65.88
"BEWR",2008,79.2898120133293,"T2M","Temperature at 2 Meters (C) ",13.93
"BEWR",2008,79.2898120133293,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.72
"BEWR",2008,79.2898120133293,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.19
"BEWR",2008,79.2898120133293,"PS","Surface Pressure (kPa) ",98.86
"BEWR",2008,79.2898120133293,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.93
"BEWR",2008,79.2898120133293,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.66
"BEWR",2008,79.2898120133293,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.51
"BEWR",2008,79.2898120133293,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.7
"BEWR",2008,79.2898120133293,"WS2M","Wind Speed at 2 Meters (m/s) ",1.73
"BEWR",2008,79.2898120133293,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"BEWR",2008,79.2898120133293,NA,"Populationpersons",1740964
"BEWR",2008,79.2898120133293,NA,"Percapitapersonalincome",61503
"BEWR",2008,79.2898120133293,NA,"Farmproprietorsincome",32626
"BEWR",2008,79.2898120133293,NA,"Nonfarmproprietorsincome",7518520
"BEWR",2008,79.2898120133293,NA,"Farmproprietorsemployment",868
"BEWR",2008,79.2898120133293,NA,"Nonfarmproprietorsemployment",217985
"BEWR",2009,109.331319048496,"PRECTOT","Precipitation (mm day-1) ",518.36
"BEWR",2009,109.331319048496,"RH2M","Relative Humidity at 2 Meters (%) ",67.84
"BEWR",2009,109.331319048496,"T2M","Temperature at 2 Meters (C) ",13.77
"BEWR",2009,109.331319048496,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.23
"BEWR",2009,109.331319048496,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.29
"BEWR",2009,109.331319048496,"PS","Surface Pressure (kPa) ",98.83
"BEWR",2009,109.331319048496,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.95
"BEWR",2009,109.331319048496,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.6
"BEWR",2009,109.331319048496,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.4
"BEWR",2009,109.331319048496,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.76
"BEWR",2009,109.331319048496,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"BEWR",2009,109.331319048496,"WS10M","Wind Speed at 10 Meters (m/s) ",2.98
"BEWR",2009,109.331319048496,NA,"Populationpersons",1765137
"BEWR",2009,109.331319048496,NA,"Percapitapersonalincome",57097
"BEWR",2009,109.331319048496,NA,"Farmproprietorsincome",78208
"BEWR",2009,109.331319048496,NA,"Nonfarmproprietorsincome",8217456
"BEWR",2009,109.331319048496,NA,"Farmproprietorsemployment",855
"BEWR",2009,109.331319048496,NA,"Nonfarmproprietorsemployment",222801
"BEWR",2010,120.412291682096,"PRECTOT","Precipitation (mm day-1) ",741.15
"BEWR",2010,120.412291682096,"RH2M","Relative Humidity at 2 Meters (%) ",72.52
"BEWR",2010,120.412291682096,"T2M","Temperature at 2 Meters (C) ",13.32
"BEWR",2010,120.412291682096,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.1
"BEWR",2010,120.412291682096,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.26
"BEWR",2010,120.412291682096,"PS","Surface Pressure (kPa) ",98.75
"BEWR",2010,120.412291682096,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.94
"BEWR",2010,120.412291682096,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.62
"BEWR",2010,120.412291682096,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.43
"BEWR",2010,120.412291682096,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.73
"BEWR",2010,120.412291682096,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"BEWR",2010,120.412291682096,"WS10M","Wind Speed at 10 Meters (m/s) ",2.96
"BEWR",2010,120.412291682096,NA,"Populationpersons",1786079
"BEWR",2010,120.412291682096,NA,"Percapitapersonalincome",61330
"BEWR",2010,120.412291682096,NA,"Farmproprietorsincome",81441
"BEWR",2010,120.412291682096,NA,"Nonfarmproprietorsincome",9032788
"BEWR",2010,120.412291682096,NA,"Farmproprietorsemployment",849
"BEWR",2010,120.412291682096,NA,"Nonfarmproprietorsemployment",221813
"BEWR",2011,86.7644105306144,"PRECTOT","Precipitation (mm day-1) ",491.5
"BEWR",2011,86.7644105306144,"RH2M","Relative Humidity at 2 Meters (%) ",71.22
"BEWR",2011,86.7644105306144,"T2M","Temperature at 2 Meters (C) ",12.99
"BEWR",2011,86.7644105306144,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.07
"BEWR",2011,86.7644105306144,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",7.76
"BEWR",2011,86.7644105306144,"PS","Surface Pressure (kPa) ",98.86
"BEWR",2011,86.7644105306144,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.93
"BEWR",2011,86.7644105306144,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.59
"BEWR",2011,86.7644105306144,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.38
"BEWR",2011,86.7644105306144,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.72
"BEWR",2011,86.7644105306144,"WS2M","Wind Speed at 2 Meters (m/s) ",1.69
"BEWR",2011,86.7644105306144,"WS10M","Wind Speed at 10 Meters (m/s) ",2.95
"BEWR",2011,86.7644105306144,NA,"Populationpersons",1812166
"BEWR",2011,86.7644105306144,NA,"Percapitapersonalincome",66406
"BEWR",2011,86.7644105306144,NA,"Farmproprietorsincome",69231
"BEWR",2011,86.7644105306144,NA,"Nonfarmproprietorsincome",9665331
"BEWR",2011,86.7644105306144,NA,"Farmproprietorsemployment",837
"BEWR",2011,86.7644105306144,NA,"Nonfarmproprietorsemployment",227959
"BEWR",2012,113.73650258544,"PRECTOT","Precipitation (mm day-1) ",625.06
"BEWR",2012,113.73650258544,"RH2M","Relative Humidity at 2 Meters (%) ",66.86
"BEWR",2012,113.73650258544,"T2M","Temperature at 2 Meters (C) ",13.82
"BEWR",2012,113.73650258544,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.4
"BEWR",2012,113.73650258544,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.17
"BEWR",2012,113.73650258544,"PS","Surface Pressure (kPa) ",98.85
"BEWR",2012,113.73650258544,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.96
"BEWR",2012,113.73650258544,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.72
"BEWR",2012,113.73650258544,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.59
"BEWR",2012,113.73650258544,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"BEWR",2012,113.73650258544,"WS2M","Wind Speed at 2 Meters (m/s) ",1.77
"BEWR",2012,113.73650258544,"WS10M","Wind Speed at 10 Meters (m/s) ",3.07
"BEWR",2012,113.73650258544,NA,"Populationpersons",1838370
"BEWR",2012,113.73650258544,NA,"Percapitapersonalincome",72792
"BEWR",2012,113.73650258544,NA,"Farmproprietorsincome",94360
"BEWR",2012,113.73650258544,NA,"Nonfarmproprietorsincome",10271124
"BEWR",2012,113.73650258544,NA,"Farmproprietorsemployment",820
"BEWR",2012,113.73650258544,NA,"Nonfarmproprietorsemployment",228762
"BEWR",2013,109.79375547346,"PRECTOT","Precipitation (mm day-1) ",120.46
"BEWR",2013,109.79375547346,"RH2M","Relative Humidity at 2 Meters (%) ",63.67
"BEWR",2013,109.79375547346,"T2M","Temperature at 2 Meters (C) ",14.04
"BEWR",2013,109.79375547346,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.97
"BEWR",2013,109.79375547346,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.25
"BEWR",2013,109.79375547346,"PS","Surface Pressure (kPa) ",98.88
"BEWR",2013,109.79375547346,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.91
"BEWR",2013,109.79375547346,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.57
"BEWR",2013,109.79375547346,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.36
